STATION,DATE,EMXP,MXSD,DSNW,TPCP,TSNW,EMXT,EMNT,MMXT,MMNT,MNTM
COOP:095061,200107,206,0,0,578,0,98,65,925,713,819
COOP:095061,200108,98,0,0,311,0,96,65,913,708,811
COOP:095061,200109,196,0,0,541,0,90,48,842,628,735
COOP:095061,200110,55,0,0,88,0,86,32,785,493,639
COOP:095061,200111,119,0,0,186,0,83,30,765,480,623
COOP:095061,200112,82,0,0,131,0,79,27,-9999,441,-9999
COOP:095061,200201,105,0,0,329,0,82,19,660,378,519
COOP:095061,200202,163,0,0,232,0,73,19,621,365,493
COOP:095061,200203,185,0,0,445,0,87,22,758,447,603
COOP:095061,200204,134,0,0,382,0,92,43,826,589,708
COOP:095061,200205,53,0,0,174,0,93,48,867,617,742
COOP:095061,200206,62,0,0,212,0,99,64,909,694,802
COOP:095061,200207,146,0,0,433,0,101,68,934,708,821
COOP:095061,200208,180,0,0,348,0,100,62,919,706,813
COOP:095061,200209,387,0,0,636,0,99,62,891,696,794
COOP:095061,200210,249,0,0,412,0,92,43,796,613,705
COOP:095061,200211,187,0,0,341,0,80,25,660,420,540
COOP:095061,200212,190,0,0,439,0,76,27,605,355,480
COOP:095061,200301,125,0,0,180,0,80,13,579,323,451
COOP:095061,200302,155,0,0,435,0,77,29,631,387,509
COOP:095061,200303,138,0,0,573,0,85,34,730,515,623
COOP:095061,200304,110,0,0,354,0,87,37,793,537,665
COOP:095061,200305,186,0,0,512,0,93,55,862,645,754
COOP:095061,200306,254,0,0,677,0,94,59,892,695,794
COOP:095061,200307,127,0,0,571,0,94,71,900,730,815
COOP:095061,200308,150,0,0,590,0,95,71,894,732,813
COOP:095061,200309,113,0,0,246,0,91,49,851,642,747
COOP:095061,200311,156,0,0,230,0,84,27,745,478,612
COOP:095061,200312,65,0,0,150,0,72,23,595,327,461
COOP:095061,200401,109,0,0,170,0,79,24,613,332,473
COOP:095061,200402,160,0,0,566,0,71,26,584,375,480
COOP:095061,200403,9,0,0,17,0,85,32,759,454,607
COOP:095061,200404,72,0,0,149,0,88,37,782,484,633
COOP:095061,200405,160,0,0,248,0,94,47,868,642,755
COOP:095061,200406,151,0,0,831,0,94,66,885,704,795
COOP:095061,200407,73,0,0,349,0,96,66,917,718,818
COOP:095061,200408,170,0,0,379,0,97,63,889,699,794
COOP:095061,200409,567,0,0,1282,0,89,56,825,671,748
COOP:095061,200410,30,0,0,77,0,88,45,792,590,691
COOP:095061,200411,175,0,0,461,0,85,34,711,488,600
COOP:095061,200412,120,0,0,290,0,78,22,602,360,481
COOP:095061,200501,163,0,0,267,0,75,18,635,388,512
COOP:095061,200502,109,0,0,315,0,79,29,630,406,518
COOP:095061,200503,375,0,0,796,0,80,28,671,430,551
COOP:095061,200504,210,0,0,656,0,84,39,738,492,615
COOP:095061,200505,156,0,0,258,0,93,49,829,582,706
COOP:095061,200506,223,0,0,950,0,96,63,864,698,781
COOP:095061,200507,508,0,0,811,0,98,68,915,742,829
