STATION,DATE,EMXP,MXSD,DSNW,TPCP,TSNW,EMXT,EMNT,MMXT,MMNT,MNTM
COOP:473269,194801,-9999,-9999,-9999,-9999,-9999,-9999,-9999,271,501,106
COOP:473269,194802,-9999,-9999,-9999,-9999,-9999,-9999,-9999,582,700,708
COOP:473269,194803,-9999,-9999,-9999,-9999,-9999,-9999,-9999,102,700,711
COOP:473269,194804,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,100,310
COOP:473269,194805,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,913
COOP:473269,195001,94,5,-9999,264,119,43,-18,261,53,157
COOP:473269,195002,42,10,-9999,145,157,36,-19,261,74,168
COOP:473269,195003,83,7,-9999,249,50,49,-10,321,165,243
COOP:473269,195004,77,1,-9999,339,39,65,13,436,273,355
COOP:473269,195005,53,0,-9999,150,0,87,25,653,406,530
COOP:473269,195006,81,0,-9999,311,0,88,38,762,523,643
COOP:473269,195007,205,0,-9999,650,0,89,45,776,552,664
COOP:473269,195008,98,0,-9999,272,0,87,38,729,504,617
COOP:473269,195009,133,0,-9999,220,0,79,29,680,477,579
COOP:473269,195010,49,0,-9999,114,0,79,30,619,403,511
COOP:473269,195011,43,3,-9999,112,43,69,-7,380,213,297
COOP:473269,195012,83,10,-9999,184,141,35,-18,227,48,138
COOP:473269,195101,19,15,-9999,87,122,39,-31,212,20,116
COOP:473269,195102,41,11,-9999,172,70,40,-24,269,81,175
COOP:473269,195103,68,4,-9999,266,141,49,2,335,188,262
COOP:473269,195104,86,0,-9999,479,12,80,26,495,341,418
COOP:473269,195105,25,0,-9999,89,0,83,32,688,465,577
COOP:473269,195106,61,0,-9999,230,0,82,37,725,501,613
COOP:473269,195107,163,0,-9999,412,0,88,44,786,567,677
COOP:473269,195108,261,0,-9999,550,0,85,40,740,544,642
COOP:473269,195109,103,0,-9999,293,0,85,29,672,462,567
COOP:473269,195110,88,0,-9999,482,0,77,25,566,385,476
COOP:473269,195111,55,4,-9999,166,89,55,-5,341,167,254
COOP:473269,195112,26,8,-9999,109,100,53,-17,267,102,185
COOP:473269,195201,53,10,-9999,206,155,42,-21,263,72,168
COOP:473269,195202,27,6,-9999,70,81,40,-4,312,132,222
COOP:473269,195203,46,3,-9999,198,76,57,1,347,185,266
COOP:473269,195204,120,1,-9999,157,23,84,20,585,353,469
COOP:473269,195205,57,0,-9999,292,0,90,33,658,426,542
COOP:473269,195206,74,0,-9999,236,0,92,45,766,550,658
COOP:473269,195207,195,0,-9999,382,0,91,44,819,593,706
COOP:473269,195208,68,0,-9999,206,0,87,41,776,554,665
COOP:473269,195209,46,0,-9999,82,0,93,33,731,462,597
COOP:473269,195210,0,0,-9999,0,0,71,16,553,277,415
COOP:473269,195211,95,1,-9999,224,31,65,8,458,273,366
COOP:473269,195212,32,5,-9999,145,107,44,1,317,194,256
COOP:473269,195301,43,4,-9999,110,67,44,-10,285,127,206
COOP:473269,195302,132,11,-9999,356,184,38,-10,281,91,186
COOP:473269,195303,66,4,-9999,194,31,59,-3,380,237,309
COOP:473269,195304,144,0,-9999,552,2,75,23,497,327,412
COOP:473269,195305,32,0,-9999,141,0,84,31,659,425,542
COOP:473269,195306,54,0,-9999,190,0,93,43,786,541,664
COOP:473269,195307,218,0,-9999,315,0,91,45,818,582,700
COOP:473269,195308,66,0,-9999,205,0,93,48,810,578,694
COOP:473269,195309,100,0,-9999,202,0,95,33,720,470,595
COOP:473269,195310,8,0,-9999,22,0,83,24,657,394,526
COOP:473269,195311,23,1,-9999,39,16,72,14,489,297,393
COOP:473269,195312,34,1,-9999,159,32,51,-6,332,177,255
COOP:473269,195401,12,2,-9999,43,50,37,-19,254,61,158
COOP:473269,195402,23,5,-9999,98,72,50,-6,363,189,276
COOP:473269,195403,42,4,-9999,111,54,63,7,369,209,289
COOP:473269,195404,97,0,-9999,445,1,75,7,555,345,450
COOP:473269,195405,214,0,-9999,322,11,80,27,607,387,497
COOP:473269,195406,156,0,-9999,438,0,90,38,772,557,665
COOP:473269,195407,109,0,-9999,294,0,91,47,795,579,687
COOP:473269,195408,55,0,-9999,161,0,88,42,769,538,654
COOP:473269,195409,156,0,-9999,578,0,91,32,685,488,587
COOP:473269,195410,344,0,-9999,500,0,72,21,563,385,474
COOP:473269,195411,44,3,-9999,89,66,64,22,446,285,366
COOP:473269,195412,17,2,-9999,42,45,40,0,306,157,232
COOP:473269,195501,42,5,-9999,78,67,40,-14,245,68,157
COOP:473269,195502,46,5,-9999,137,92,40,-11,271,71,171
COOP:473269,195503,75,8,-9999,140,103,59,-4,358,177,268
COOP:473269,195504,98,0,-9999,240,0,78,27,598,379,489
COOP:473269,195505,75,0,-9999,239,0,84,30,690,445,568
COOP:473269,195506,81,0,-9999,325,0,86,44,761,536,649
COOP:473269,195507,102,0,-9999,478,0,98,49,852,630,741
COOP:473269,195508,52,0,-9999,90,0,99,46,848,602,725
COOP:473269,195509,38,0,-9999,76,0,95,32,733,467,600
COOP:473269,195510,109,0,-9999,358,0,77,28,599,399,499
COOP:473269,195511,59,1,-9999,104,23,52,-3,386,223,305
COOP:473269,195512,53,3,-9999,89,48,42,-8,250,86,168
COOP:473269,195601,31,2,-9999,56,40,38,-16,274,82,178
COOP:473269,195602,27,3,-9999,60,35,37,-10,277,74,176
COOP:473269,195603,48,14,-9999,186,190,47,-5,333,146,240
COOP:473269,195604,55,4,-9999,145,52,65,12,501,284,393
COOP:473269,195605,209,0,-9999,466,0,87,27,633,408,521
COOP:473269,195606,99,0,-9999,390,0,93,33,778,541,660
COOP:473269,195607,225,0,-9999,585,0,83,46,744,556,650
COOP:473269,195608,61,0,-9999,309,0,85,44,765,571,668
COOP:473269,195609,77,0,-9999,165,0,85,27,662,441,552
COOP:473269,195610,51,0,-9999,65,0,80,24,651,410,531
COOP:473269,195611,95,2,-9999,213,37,64,3,413,258,336
COOP:473269,195612,35,4,-9999,87,79,40,-6,306,143,225
COOP:473269,195701,10,4,-9999,35,36,40,-15,185,5,95
COOP:473269,195702,17,4,-9999,43,42,47,-3,306,111,209
COOP:473269,195703,8,1,-9999,46,20,61,4,389,213,301
COOP:473269,195704,113,3,-9999,293,69,81,20,536,349,443
